Name,Residual_Charging_Band,Import_Super_Red_charge,Import_fixed_charge,Export_Super_Red_charge,Export_fixed_charge,Tariff_Period
B&RLTD,0,3.26,568.74,0,0,2022/2023
BEDDIN,0,0,7483.96,0,0,2022/2023
BP_OIL,0,0,568.74,0,0,2022/2023
CHESDC,0,0.01,17311.24,0,0,2022/2023
DIGREA,0,7.61,34276.38,0,0,2022/2023
EUROTU,0,0,124027.21,0,0,2022/2023
GAT_AF,0,2.72,20999.35,0,0,2022/2023
GAT_BF,0,0.63,19164.24,0,0,2022/2023
KNGSPN,0,0.26,32723.85,0,0,2022/2023
NP_LAB,0,2.07,789.85,0,0,2022/2023
NR_3BR,0,0.75,33675.32,0,0,2022/2023
NR_AFD,0,0.16,19164.24,0,0,2022/2023
NR_ASH,0,0.36,19164.24,0,0,2022/2023
NR_BRI,0,0,33675.32,0,0,2022/2023
NR_BYF,0,0.69,33675.32,0,0,2022/2023
NR_CAN,0,0,8007.72,0,0,2022/2023
NR_CRO,0,0,33358.16,0,0,2022/2023
NR_DOR,0,7.67,8007.72,0,0,2022/2023
NR_EAS,0,1.41,8007.72,0,0,2022/2023
NR_FOK,0,1.77,8007.72,0,0,2022/2023
NR_HAS,0,4.33,11314.52,0,0,2022/2023
NR_LEA,0,2.2,33358.16,0,0,2022/2023
NR_MAI,0,3.24,19164.24,0,0,2022/2023
NR_NOR,0,0,33992.48,0,0,2022/2023
NR_QUE,0,0,680.82,0,0,2022/2023
NR_SIT,0,0.03,19164.24,0,0,2022/2023
NR_THA,0,2.86,8007.72,0,0,2022/2023
NR_TUN,0,1.08,19164.24,0,0,2022/2023
PFIZER,0,0,9478.07,0,0,2022/2023
SENTIV,0,0,102100.38,0,0,2022/2023
THAMEM,0,0,36603.48,0,2909.72,2022/2023
THAMES,0,0,10346.73,0,1744.35,2022/2023
TWHK66,0,3.01,7564.02,-3.14,30.5,2022/2023
ANMSTR,0,2.86,383.88,-3.78,966.53,2022/2023
ASHBYS,0,6.11,357.36,0,992.65,2022/2023
ASHGEN,0,0,440.49,0,2785.77,2022/2023
AYLESF,0,0,33041.01,0,0,2022/2023
BEDERF,0,0,690.1,0,2433.31,2022/2023
BESAYL,0,0,33073.07,-0.05,349.22,2022/2023
BNTLEY,0,9.22,356.39,0,875.64,2022/2023
BNTLY2,0,9.22,354.31,0,560.56,2022/2023
BOBBNG,0,0.03,352.38,0,950.18,2022/2023
BRAMBS,0,1.87,7722.63,-1.88,349.22,2022/2023
BRELLE,0,0.02,381.78,-0.39,728.42,2022/2023
BRETSH,0,0,370.37,0,0,2022/2023
BRKHST,0,0.78,9018.74,-0.95,4888.31,2022/2023
BTBRKS,0,4.1,396.89,0,1094.59,2022/2023
CAPELG,0,0.62,348.5,0,710.39,2022/2023
CLYHLL,0,4.27,354.23,0,659.78,2022/2023
CRYENG,0,0,460.93,0,302.14,2022/2023
DARENT,0,0,478.19,0,2010.65,2022/2023
DSCPRK,0,0,19446.49,0,1227.85,2022/2023
FORDSF,0,1,359.09,0,654.92,2022/2023
FRWOOD,0,0,365.73,0,904.77,2022/2023
GLASSN,0,0,388.13,0,388.13,2022/2023
GROVEH,0,0,33139.79,0,0,2022/2023
GUSTON,0,0.9,362.94,0,1530.84,2022/2023
HADLOW,0,0.53,349.47,0,696.6,2022/2023
HANSTA,0,0,349.45,0,0,2022/2023
HLLMBY,0,0,357.14,0,766.76,2022/2023
HORAMS,0,0,360.94,0,1730.34,2022/2023
KENTI2,0,0,356,0,308.79,2022/2023
KENTIS,0,0,354.53,0,0,2022/2023
KM3CHP,0,0.01,7636.59,-0.01,2493.69,2022/2023
KNWLTN,0,0,361.32,0,1293.92,2022/2023
LBOURN,0,0.28,355.58,0,745,2022/2023
LCHEYI,0,0.04,353.57,0,770.33,2022/2023
LENHAM,0,6.74,360.58,0,1294.66,2022/2023
LGHTON,0,1.13,358.73,0,777.11,2022/2023
MARSHB,0,0,367.87,0,825.68,2022/2023
MLEHLL,0,0,350.15,0,314.64,2022/2023
MLMAYN,0,0,349.02,0,664.99,2022/2023
MVVRID,0,0,1363.15,0,5341.61,2022/2023
NEWHVN,0,0.61,387.28,-0.61,277.51,2022/2023
NEWRID,0,0.07,351.18,0,1419.48,2022/2023
OAKLND,0,6.92,353.41,0,634.95,2022/2023
OLDRSF,0,0.01,351.81,0,835.33,2022/2023
ORCHRD,0,0.03,352.87,0,943.28,2022/2023
ORCHRD,0,0.03,0,0,0,2022/2023
PADWSF,0,0.59,352.01,0,694.06,2022/2023
POSHWF,0,0.01,353.85,0,310.94,2022/2023
PRIORS,0,0.96,351.99,0,655.61,2022/2023
PSHLEY,0,0,359.47,0,1183.56,2022/2023
SELLSF,0,0.8,351.38,0,726.75,2022/2023
SEVIND,0,0.63,349,-0.88,109.19,2022/2023
SHEPHM,0,2.18,394,0,1738.71,2022/2023
SHORHM,0,0,7649.9,0,0,2022/2023
SOLEES,0,0.08,386.08,0,1614.92,2022/2023
STAREN,0,0.97,1660.43,0,0,2022/2023
SYCAMR,0,6.16,405.94,0,2098.94,2022/2023
THAEAR,0,0,35969.11,-1.39,3245.27,2022/2023
THANET,0,0,362.23,0,1537.94,2022/2023
THORNE,0,0,367.38,0,2054.13,2022/2023
TONGSF,0,0.03,377.66,0,2335.61,2022/2023
WDLNDS,0,0,369.83,0,2664.06,2022/2023
WIDHFM,0,9.77,364.96,0,1386.46,2022/2023
WLBEES,0,0.56,350.77,0,314.02,2022/2023
WRGALL,0,0,8105.12,0,0,2022/2023
WSTWDX,0,0,360.58,0,1294.66,2022/2023
B&RLTD,1,2.57,915.78,0,0,2023/2024
BEDDIN,2,0.01,6187.9,0,0,2023/2024
BP_OIL,1,0,915.78,0,0,2023/2024
CHESDC,3,0,9870.55,0,0,2023/2024
DIGREA,4,0,25598.07,0,0,2023/2024
EUROTU,4,0,125905.33,0,0,2023/2024
GAT_AF,3,0.62,12939.47,0,0,2023/2024
GAT_BF,3,0.86,10888.51,0,0,2023/2024
KNGSPN,4,0.33,23862.93,0,0,2023/2024
NP_LAB,1,2.19,1162.89,0,0,2023/2024
NR_3BR,4,1.04,24926.31,0,0,2023/2024
NR_AFD,3,0.75,10888.51,0,0,2023/2024
NR_ASH,3,0.49,10888.51,0,0,2023/2024
NR_BRI,4,0.43,24926.31,0,0,2023/2024
NR_BYF,4,0.47,24926.31,0,0,2023/2024
NR_CAN,2,0,6773.27,0,0,2023/2024
NR_CRO,4,0.03,24571.85,0,0,2023/2024
NR_DOR,2,3.98,6773.27,0,0,2023/2024
NR_EAS,2,3.02,6773.27,0,0,2023/2024
NR_FOK,2,0.86,6773.27,0,0,2023/2024
NR_HAS,2,0,10469,0,0,2023/2024
NR_LEA,4,3.35,24571.85,0,0,2023/2024
NR_MAI,3,7.71,10888.51,0,0,2023/2024
NR_NOR,4,0,25280.77,0,0,2023/2024
NR_QUE,1,0,1041.04,0,0,2023/2024
NR_SIT,3,0.01,10888.51,0,0,2023/2024
NR_THA,2,6.11,6773.27,0,0,2023/2024
NR_TUN,3,8.96,10888.51,0,0,2023/2024
PFIZER,2,0.09,8416.55,0,0,2023/2024
SENTIV,4,0.03,101399.49,0,0,2023/2024
THAMEM,4,0,28198.88,0,3251.96,2023/2024
THAMES,2,0,9387.38,0,1949.51,2023/2024
TWHK66,2,6.28,6277.38,-5.42,34.08,2023/2024
ANMSTR,0,6.11,38.56,-4.64,1082.16,2023/2024
ASHBYS,0,0.48,10.88,0,1109.4,2023/2024
ASHGEN,1,0,772.45,0,3113.43,2023/2024
AYLESF,4,0,24217.39,0,0,2023/2024
BEDERF,0,0.03,382.75,-0.35,2719.51,2023/2024
BESAYL,0,0,390.29,0,390.29,2023/2024
BNTLEY,0,7.35,9.79,0,978.63,2023/2024
BNTLY2,0,7.35,7.46,0,626.5,2023/2024
BOBBNG,0,0.01,5.31,0,1061.94,2023/2024
BRAMBS,0,0.2,390.29,-0.27,390.29,2023/2024
BRELLE,1,0,706.83,0,814.09,2023/2024
BRETSH,0,0,25.41,0,0,2023/2024
BRKHST,2,1.33,7903.2,-2.76,5463.27,2023/2024
BTBRKS,1,2.78,723.71,0,1223.33,2023/2024
CAPELG,1,4.54,669.64,0,793.95,2023/2024
CLYHLL,0,1.14,7.37,0,737.38,2023/2024
CRYENG,0,0,126.63,0,337.67,2023/2024
DARENT,1,0.09,814.58,-0.13,2247.14,2023/2024
DSCPRK,3,0.09,11203.97,-0.13,1372.27,2023/2024
FORDSF,0,0.29,12.81,0,731.95,2023/2024
FRWOOD,0,0,20.22,0,1011.19,2023/2024
GLASSN,0,0,433.79,0,433.79,2023/2024
GROVEH,4,0,24327.79,0,0,2023/2024
GUSTON,0,0.13,17.11,0,1710.89,2023/2024
HADLOW,0,9.72,2.06,0,778.53,2023/2024
HANSTA,0,0,2.04,0,0,2023/2024
HLLMBY,0,0,10.63,0,856.94,2023/2024
HORAMS,0,0.09,14.88,0,1933.86,2023/2024
KENTI2,1,0,673.71,0,349.41,2023/2024
KENTIS,1,0,676.37,0,0,2023/2024
KM3CHP,2,0,6358.48,0,2787,2023/2024
KNTSFM,0,0.51,834.04,-0.87,878.2,2023/2024
KNWLTN,0,0,15.3,0,1446.11,2023/2024
LBOURN,0,0,8.88,0,832.62,2023/2024
LCHEYI,0,0.02,6.63,0,860.94,2023/2024
LENHAM,0,0.69,14.47,0,1446.94,2023/2024
LGHTON,0,4.38,12.41,0,868.51,2023/2024
MARSHB,0,0.09,22.62,0,922.8,2023/2024
MLEHLL,0,0,2.81,0,351.65,2023/2024
MLMAYN,0,0.32,1.55,0,743.21,2023/2024
MVVRID,0,0,1134.96,0,5969.89,2023/2024
NEWHVN,0,1.39,44.31,-1.58,310.15,2023/2024
NEWRID,1,0.03,672.63,0,1586.44,2023/2024
OAKLND,0,1.76,6.46,0,709.63,2023/2024
OLDRSF,0,0,4.67,0,933.58,2023/2024
ORCHRD,0,0.01,5.86,0,1054.23,2023/2024
PADWSF,0,9.75,4.9,0,775.69,2023/2024
POSHWF,0,0,6.95,0,347.51,2023/2024
PRIORS,0,0.3,4.87,0,732.72,2023/2024
PSHLEY,0,0,13.23,0,1322.77,2023/2024
SELLSF,0,0.15,4.19,0,812.23,2023/2024
SEVIND,0,2.07,1.53,-2.07,122.03,2023/2024
SHEPHM,0,4.45,51.82,0,1943.21,2023/2024
SHORHM,2,0.01,6373.36,0,0,2023/2024
SOLEES,0,0.03,42.97,0,1804.86,2023/2024
STAREN,1,0.31,2135.87,0,0,2023/2024
SYCAMR,0,1.59,65.16,0,2345.81,2023/2024
THAEAR,4,0,27489.9,-1.88,3626.97,2023/2024
THANET,1,0.02,684.98,0,1718.83,2023/2024
THORNE,0,0.35,22.07,0,2295.73,2023/2024
TONGSF,1,0.01,702.23,0,2610.32,2023/2024
WDLNDS,0,0,24.81,0,2977.4,2023/2024
WIDHFM,0,1.58,19.37,0,1549.54,2023/2024
WLBEES,0,1.99,3.51,0,350.95,2023/2024
WRGALL,0,0,817.77,0,0,2023/2024
WSTWDX,0,0.35,14.47,0,1446.94,2023/2024
B&RLTD,1,1.86,2865.31,0,0,2024/2025
BEDDIN,2,0.01,16076.25,0,0,2024/2025
BP_OIL,1,0.31,2865.31,0,0,2024/2025
CHESDC,3,0,33041.98,0,0,2024/2025
DIGREA,4,0,69548.53,0,0,2024/2025
EUROTU,4,0,220981.93,0,0,2024/2025
GAT_AF,3,0.75,39690.72,0,0,2024/2025
GAT_BF,3,0.78,36594.39,0,0,2024/2025
KNGSPN,4,0.13,66928.99,0,0,2024/2025
NP_LAB,1,1.89,3238.38,0,0,2024/2025
NR_3BR,4,0.82,68534.37,0,0,2024/2025
NR_AFD,3,1.8,36594.39,0,0,2024/2025
NR_ASH,3,0.34,36594.39,0,0,2024/2025
NR_BRI,4,0.41,68534.37,0,0,2024/2025
NR_BYF,4,0.36,68534.37,0,0,2024/2025
NR_CAN,2,0.02,16959.97,0,0,2024/2025
NR_CRO,4,0.02,67999.24,0,0,2024/2025
NR_DOR,2,4.62,16959.97,0,0,2024/2025
NR_EAS,2,1.26,16959.97,0,0,2024/2025
NR_FOK,2,1.45,16959.97,0,0,2024/2025
NR_HAS,2,0,22539.41,0,0,2024/2025
NR_LEA,4,1.29,67999.24,0,0,2024/2025
NR_MAI,3,3.54,36594.39,0,0,2024/2025
NR_NOR,4,0,69069.5,0,0,2024/2025
NR_QUE,1,0,3054.42,0,0,2024/2025
NR_SIT,3,0,36594.39,0,0,2024/2025
NR_THA,2,1.79,16959.97,0,0,2024/2025
NR_TUN,3,7.34,36594.39,0,0,2024/2025
PFIZER,2,0,19440.83,0,0,2024/2025
SENTIV,4,0.05,183985.57,0,0,2024/2025
THAMEM,4,0,73474.95,0,4909.47,2024/2025
THAMES,2,0.76,20906.49,-0.48,2943.17,2024/2025
TWHK66,2,7.43,16211.32,-8,51.46,2024/2025
ANMSTR,0,2.15,58.21,-2.15,1633.73,2024/2025
ASHBYS,0,5.14,16.42,0,1674.86,2024/2025
AYLESF,4,0.05,67518.21,0,0,2024/2025
BEDERF,0,0.2,577.83,-0.32,4105.64,2024/2025
BESAYL,0,0.05,589.22,-0.09,589.22,2024/2025
BNTLEY,0,6.29,14.77,0,1477.43,2024/2025
BNTLY2,0,6.29,11.26,0,945.82,2024/2025
BOBBNG,0,0,8.02,0,1603.2,2024/2025
BRAMBS,0,0.29,589.22,-0.6,589.22,2024/2025
BRELLE,1,0,2549.85,0,1229.03,2024/2025
BRETSH,0,0.01,38.36,0,0,2024/2025
BRKHST,2,1.52,18665.83,-4.73,8247.87,2024/2025
BTBRKS,1,0.5,2575.35,0,1846.86,2024/2025
CAPELG,0,7.59,1.47,0,1198.62,2024/2025
CLYHLL,0,1.37,11.13,0,1113.22,2024/2025
CRYENG,0,0,191.17,0,509.79,2024/2025
CWSTBS,0,0,28.81,0,28.81,2024/2025
DARENT,1,0,2712.53,0,3392.49,2024/2025
DSCPRK,3,0,37070.63,0,2071.7,2024/2025
FORDSF,0,0.28,19.34,0,1105.02,2024/2025
FRWOOD,0,0,30.53,0,1526.59,2024/2025
GLASSN,0,0,654.88,-1.03,654.88,2024/2025
GROVEH,4,0,67630.79,0,0,2024/2025
GUSTON,0,5.23,25.83,0,2582.93,2024/2025
HADLOW,0,4.11,3.11,0,1175.34,2024/2025
HANSTA,0,4.45,3.08,0,0,2024/2025
HLLMBY,0,0,16.05,0,1293.72,2024/2025
HORAMS,0,0,22.46,0,2919.53,2024/2025
KENTI2,1,0,2506.35,0,521.02,2024/2025
KENTIS,1,0,2518.19,0,0,2024/2025
KM3CHP,2,0,16333.77,0,4207.52,2024/2025
KNTSFM,0,0.83,1259.15,-0.8,1325.81,2024/2025
KNWLTN,0,0,23.1,0,2183.18,2024/2025
LBOURN,0,0,13.41,0,1257.01,2024/2025
LCHEYI,0,0.15,10.01,0,1299.75,2024/2025
LENHAM,0,6.39,21.84,0,2184.44,2024/2025
LGHTON,0,3.83,18.73,0,1311.19,2024/2025
MARSHB,0,0,34.15,0,1393.15,2024/2025
MLEHLL,0,0,4.25,0,530.88,2024/2025
MLMAYN,0,0,2.34,0,1122.02,2024/2025
MVVRID,0,0,2815.57,0,14809.91,2024/2025
NEWHVN,0,1.53,66.89,-1.67,468.24,2024/2025
NEWRID,1,0.02,2498.23,0,2395.04,2024/2025
OAKLND,0,1.74,9.75,0,1071.33,2024/2025
OLDRSF,0,0,7.05,0,1409.43,2024/2025
ORCHRD,0,0,8.84,0,1591.56,2024/2025
PADWSF,0,12.69,7.39,0,1171.06,2024/2025
POSHWF,0,0,10.49,0,524.64,2024/2025
PRIORS,0,1.73,7.35,0,1106.18,2024/2025
PSHLEY,0,0,19.97,0,1996.97,2024/2025
SELLSF,0,0.45,6.32,0,1226.22,2024/2025
SEVIND,0,3.75,2.3,-3.75,184.23,2024/2025
SHEPHM,0,2.37,78.23,0,2933.66,2024/2025
SHORHM,2,0.01,16376.02,0,0,2024/2025
SOLEES,0,0.01,64.88,0,2724.79,2024/2025
STAREN,1,4.09,4707.27,0,0,2024/2025
SYCAMR,0,1.52,98.37,0,3541.46,2024/2025
THAEAR,4,0,72404.61,-1.23,5475.62,2024/2025
THANET,1,0.09,2516.87,0,2594.9,2024/2025
THORNE,0,0,33.33,0,3465.86,2024/2025
TONGSF,1,0.68,2542.91,0,3940.79,2024/2025
WDLNDS,0,0.02,37.46,0,4494.97,2024/2025
WIDHFM,0,4.89,29.24,0,2339.33,2024/2025
WLBEES,0,8.46,5.3,0,529.83,2024/2025
WRGALL,0,5.02,1234.59,0,0,2024/2025
WSTWDX,0,0,21.84,0,2184.44,2024/2025
